id,movieID,title,category
1,19995,Avatar,Action
3,206647,Spectre,Action
4,49026,The Dark Knight Rises,Action
5,49529,John Carter,Action
8,99861,Avengers: Age of Ultron,Action
10,209112,Batman v Superman: Dawn of Justice,Action
14,57201,The Lone Ranger,Action
15,49521,Man of Steel,Action
19,41154,Men in Black 3,Action
20,122917,The Hobbit: The Battle of the Five Armies,Action
21,1930,The Amazing Spider-Man,Action
22,20662,Robin Hood,Action
29,135397,Jurassic World,Action
30,37724,Skyfall,Action
31,558,Spider-Man 2,Action
32,68721,Iron Man 3,Action
39,102382,The Amazing Spider-Man 2,Action
44,534,Terminator Salvation,Action
45,168259,Furious 7,Action
46,72190,World War Z,Action
47,127585,X-Men: Days of Future Past,Action
48,54138,Star Trek Into Darkness,Action
49,81005,Jack the Giant Slayer,Action
52,68726,Pacific Rim,Action
53,38356,Transformers: Dark of the Moon,Action
57,188927,Star Trek Beyond,Action
59,5174,Rush Hour 3,Action
60,14161,2012,Action
63,258489,The Legend of Tarzan,Action
69,1726,Iron Man,Action
71,8487,Wild Wild West,Action
73,297761,Suicide Squad,Action
75,137113,Edge of Tomorrow,Action
84,79698,The Lovers,Action
86,100402,Captain America: The Winter Soldier,Action
92,47933,Independence Day: Resurgence,Action
94,296,Terminator 3: Rise of the Machines,Action
95,118340,Guardians of the Galaxy,Action
97,27205,Inception,Action
98,315011,Shin Godzilla,Action
100,9799,The Fast and the Furious,Action
102,49538,X-Men: First Class,Action
103,131634,The Hunger Games: Mockingjay - Part 2,Action
108,68735,Warcraft,Action
120,272,Batman Begins,Action
127,76338,Thor: The Dark World,Action
128,76341,Mad Max: Fury Road,Action
135,177677,Mission: Impossible - Rogue Nation,Action
139,10196,The Last Airbender,Action
141,117251,White House Down,Action
149,43074,Ghostbusters,Action
150,95,Armageddon,Action
151,608,Men in Black II,Action
153,140300,Kung Fu Panda 3,Action
154,56292,Mission: Impossible - Ghost Protocol,Action
163,10048,Stealth,Action
164,13183,Watchmen,Action
165,944,Lethal Weapon 4,Action
168,7364,Sahara,Action
170,1771,Captain America: The First Avenger,Action
181,2503,The Bourne Ultimatum,Action
